Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
2020-05-31,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-06-01,,,,,,,,139.0,,,,,,,,,,,,,,,,,,,139.0
2020-06-02,,,,,,,,167.0,,,,,,,,,,,,,,,,,,,167.0
2020-06-03,,,,,,,,631.0,,,,,,,,,,,,,,,,,,,631.0
2020-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,631.0
2020-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,631.0
2020-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,631.0
2020-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,631.0
2020-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,631.0
2020-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,631.0
2020-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,631.0
2020-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,631.0
2020-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,631.0
2020-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,631.0
2020-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,631.0
2020-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,631.0
2020-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,631.0
2020-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,631.0
2020-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,631.0
2020-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,631.0
2020-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,631.0
2020-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,631.0
2020-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,631.0
2020-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,631.0
2020-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,631.0
2020-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,631.0
2020-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,631.0
2020-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,631.0
2020-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,631.0
2020-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,631.0
2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,631.0
2020-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,631.0
2020-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,631.0
2020-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,631.0
2020-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,631.0
2020-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,631.0
2020-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,631.0
2020-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,631.0
